AA	Sedan (AA)	Sedan (AA)	Saloon (AA)
AB	Viistoperä (AB)	Kombisedan (AB)	Hatchback (AB)
AC	Farmari (AC)	Stationsvagn (AC)	Station wagon (AC)
AD	Coupé (AD)	Kupé (AD)	Coupé (AD)
AE	Avoauto (AE)	Cabriolet (AE)	Convertible (AE)
AF	Monikäyttöajoneuvo (AF)	Fordon avsett för flera ändamål (AF)	Multi-purpose vehicle (AF)
BA	Avolavakuorma-auto (BA)	Lastbil (BA)	Lorry (BA)
BB	Umpikorinen (BB)	Skåpbil (BB)	Van (BB)
BC	Puoliperävaunun vetoauto (BC)	Dragfordon för påhängsvagn (BC)	Semi-trailer tractor (BC)
BD	Perävaunun vetoajoneuvo (BD)	Dragfordon för släpvagn (BD)	Towing vehicle for a trailer (BD)
CA	Yksikerroksinen (CA)	Envåningsbuss (CA)	Single-deck (CA)
CB	Kaksikerroksinen (CB)	Tvåvåningsbuss (CB)	Double-deck (CB)
CC	Nivelöity yksikerroksinen (CC)	Ledad envåningsbuss (CC)	Articulated single-deck (CC)
CD	Nivelöity kaksikerroksinen (CD)	Ledad tvåvåningsbuss (CD)	Articulated double-deck (CD)
CE	Matalalattiainen yksikerroksinen (CE)	Envånings låggolvsbuss (CE)	Low-floor single-deck (CE)
CF	Matalalattiainen kaksikerroksinen (CF)	Tvåvånings låggolvsbuss (CF)	Low-floor double-deck (CF)
CG	Nivelöity matalalattiainen yksikerroksinen (CG)	Ledad envånings låggolvsbuss (CG)	Articulated low-floor single-deck (CG)
CH	Nivelöity matalalattiainen kaksikerroksinen (CH)	Ledad envånings låggolvsbuss (CG)	Articulated low-floor double-deck (CH)
CI	Yksikerroksinen (CI)	Envåningsbuss (CI)	Single-deck (CI)
CJ	Kaksikerroksinen (CJ)	Tvåvåningsbuss (CJ)	Double-deck (CJ)
CK	Nivelöity yksikerroksinen (CK)	Ledad envåningsbuss (CK)	Articulated single-deck (CK)
CL	Nivelöity kaksikerroksinen (CL)	Ledad tvåvåningsbuss (CL)	Articulated double-deck (CL)
CM	Matalalattiainen yksikerroksinen (CM)	Envånings låggolvsbuss (CM)	Low-floor single-deck (CM)
CN	Matalalattiainen kaksikerroksinen (CN)	Tvåvånings låggolvsbuss (CN)	Low-floor double-deck (CN)
CO	Nivelöity matalalattiainen yksikerroksinen (CO)	Ledad envånings låggolvsbuss (CO)	Articulated low-floor single-deck (CO)
CP	Nivelöity matalalattiainen kaksikerroksinen (CP)	Ledad tvåvånings låggolvsbuss (CP)	Articulated low-floor double-deck (CP)
CQ	Yksikerroksinen (CQ)	Envåningsbuss (CQ)	Single-deck (CQ)
CR	Kaksikerroksinen (CR)	Tvåvåningsbuss (CR)	Double-deck (CR)
CS	Nivelöity yksikerroksinen (CS)	Ledad envåningsbuss (CS)	Articulated single-deck (CS)
CT	Nivelöity kaksikerroksinen (CT)	Ledad tvåvåningsbuss (CT)	Articulated double-deck (CT)
CU	Yksikerroksinen (CU)	Envåningsbuss (CU)	Single-deck (CU)
CV	Matalalattiainen yksikerroksinen (CV)	Envånings låggolvsbuss (CV)	Low-floor single-deck (CV)
CW	Yksikerroksinen (CW)	Envåningsbuss (CW)	Single-deck (CW)
DA	Puoliperävaunu (DA)	Påhängsvagn (DA)	Semi-trailer (DA)
DB	Varsinainen perävaunu (DB)	Släpvagn med dragstång (DB)	Trailer (DB)
DC	Keskiakseliperävaunu (DC)	Släpkärra (DC)	Centre-axle trailer (DC)
SA	Matkailuauto (SA)	Campingbil (SA)	Motor caravan (SA)
SB	Panssariajoneuvo (SB)	Bepansrat fordon (SB)	Armoured vehicle (SB)
SC	Ambulanssi (SC)	Ambulans (SC)	Ambulance (SC)
SD	Ruumisauto (SD)	Likbil (SD)	Hearse (SD)
SE	Matkailuperävaunu (SE)	Husvagn (SE)	Caravan (SE)
SF	Ajoneuvonosturi (SF)	Mobilkran (SF)	Mobile crane (SF)
SG	Muut erikoiskäyttöön tarkoitetut ajoneuvot (SG)	Andra fordon avsedda för särskilda ändamål (SG)	Other special purpose vehicles (SG)
SH	Pyörätuolin käyttäjälle tarkoitettu ajoneuvo (SH)	Rullstolsanpassade fordon (SH)	Wheelchair accessible vehicle (SH)
U/A	Umpi/avo	Sluten/öppen	Sedan/convertible
1.7	AG Tavarafarmari	Släpvagn för transport av exceptionell last	Exceptional load transport trailer
2.11	CX Linja-auton alusta	Motorfordon för transport av exceptionell last	Exceptional load transport motor vehicle
3.5	BE Avopakettiauto	Redskapsbärare	Multi-equipment carrier
3.6	BX Alusta-ohjaamo
4.4	DE Nivelöimättömällä vetoaisalla varustettu perävaunu
5.9	SJ Apuvaunu
5.10	SK Erikoiskuljetusperävaunu
2.9	CI Avokattoinen yksikerroksinen ajoneuvo
3.1	BA Tavara-auto
2.10	CJ Avokattoinen kaksikerroksinen ajoneuvo
SK	Erikoiskuljetusperävaunu
SL	Erikoiskuljetusauto
SM	Monilaiteajoneuvo
