01	Bensiini	Bensin	Light fuel oil (kerosene)
02	Dieselöljy	Dieselolja	Diesel/wood
03	Polttoöljy	Brännolja	Petrol/wood
04	Sähkö	Elektricitet	Petrol + light fuel oil (kerosene)
05	Vety	Hydrogen	Ethanol
06	Kaasu	Gas	Petrol/CNG
07	Metanoli	Metanol	Petrol/Electricity
10	Biodiesel	Biodiesel	Petrol/Ethanol
11	LPG	LPG	Petrol/Methanol
13	CNG	CNG	Petrol/LPG
31	Moottoripetroli	Motorfotogen	Diesel fuel / CNG
32	Diesel/Puu	Diesel/Trä	Diesel fuel / Electricity
33	Bensiini/Puu	Bensin/Trä	Diesel fuel / Ethanol
34	Bensiini + moottoripetroli	Bensin + motorfotogen	Diesel fuel / Methanol
37	Etanoli	Etanol	Diesel fuel / LPG
38	Bensiini/CNG	Bensin/CNG	Diesel fuel / Biodiesel fuel
39	Bensiini/Sähkö	Bensin/Elektricitet	Diesel fuel / Biodiesel fuel / Electricity
40	Bensiini/Etanoli	Bensin/Etanol	Diesel fuel / Biodiesel fuel / Ethanol
41	Bensiini/Metanoli	Bensin/Metanol	Diesel fuel / Biodiesel fuel / Methanol
42	Bensiini/LPG	Bensin/LPG	Diesel fuel / Biodiesel fuel / LPG
43	Diesel/CNG	Diesel/CNG	Diesel fuel / Biodiesel fuel / CNG
44	Diesel/Sähkö	Diesel/Elektricitet	Hydrogen/Electricity
45	Diesel/Etanoli	Diesel/Etanol	Diesel fuel / Other
46	Diesel/Metanoli	Diesel/Metanol	Natural gas type H
47	Diesel/LPG	Diesel/LPG	Natural gas type L
48	Diesel/Biodiesel	Diesel/Biodiesel	Natural gas type HL
49	Diesel/Biodiesel/Sähkö	Diesel/Biodiesel/Elektricitet	Natural gas / Biomethane
50	Diesel/Biodiesel/Etanoli	Diesel/Biodiesel/Etanol	Biomethan
51	Diesel/Biodiesel/Metanoli	Diesel/Biodiesel/Metanol	Wood
52	Diesel/Biodiesel/LPG	Diesel/Biodiesel/LPG	Ethanol (ED95)
53	Diesel/Biodiesel/CNG	Diesel/Biodiesel/CNG	Ethanol (E85)
54	Vety/Sähkö	Hydrogen/Elektricitet	H2NG
55	Dieselöljy/Muu	Dieselolja/Övrig	LNG
56	H-ryhmän maakaasu	Naturgastyp H	LNG20
57	L-ryhmän maakaasu	Naturgastyp L	Diesel/LNG
58	HL-ryhmän maakaasu	Naturgastyp HL	Diesel/LNG20
59	CNG/Biometaani	CNG/Biometan	Not applicable
60	Biometaani	Biometan	Other
61	Puu	Träd
62	Etanoli (ED95)	Etanol (ED95)
63	Etanoli (E85)	Etanol (E85)
64	Vety-maakaasuseos	H2NG-blandning
65	LNG	LNG
66	LNG20	LNG20
67	Diesel/LNG	Diesel/LNG
68	Diesel/LNG20	Diesel/LNG20
X	Ei sovellettavissa	Ej tillämplig
Y	Muu	Övrig
